100	6400	102400	1	2.83e+06	231706425412
100	6400	102400	2	2.81719e+06	231706425412
100	6400	102400	3	2.82039e+06	231706425412
1	6400	10238400	1	3.21984e+06	276157751980
1	6400	10238400	2	3.18941e+06	276157751980
1	6400	10238400	3	3.32591e+06	276157751980
10	6400	10238400	1	3.22508e+06	276069716727
10	6400	10238400	2	3.22028e+06	276069716727
10	6400	10238400	3	3.22322e+06	276069716727
100	6400	10238400	1	3.22477e+06	276120091137
100	6400	10238400	2	3.29622e+06	276120091137
100	6400	10238400	3	3.35969e+06	276120091137
