100	6400	102400	1	1.10942e+06	655360000
100	6400	102400	2	818141	655360000
100	6400	102400	3	1.07903e+06	655360000
1	6400	10238400	1	1.1531e+07	65525760000
1	6400	10238400	2	7.94244e+06	65525760000
1	6400	10238400	3	1.15909e+07	65525760000
10	6400	10238400	1	1.11055e+07	65525760000
10	6400	10238400	2	7.99255e+06	65525760000
10	6400	10238400	3	1.17097e+07	65525760000
100	6400	10238400	1	1.11342e+07	65525760000
100	6400	10238400	2	7.94897e+06	65525760000
100	6400	10238400	3	1.19109e+07	65525760000
